2025-07-02 15:53:19,314 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:54:39,647 | INFO     | CheckerApp | _setup_workflow_routes:2053 | [ROUTING] Workflow routing system setup complete
2025-07-02 15:54:39,702 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:54:39,788 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:54:39,789 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:54:39,789 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:54:39,791 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:54:39,792 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:54:39,792 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:54:39,831 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 15:54:39,869 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 15:54:39,870 | WARNING  | CheckerApp | setup_application:494 | [WINDOW_ICON] Could not set window icon: 'charmap' codec can't encode character '\u2705' in position 124: character maps to <undefined>
2025-07-02 15:56:34,236 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:56:34,338 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:56:34,338 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:56:34,339 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:56:34,341 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:56:34,341 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:56:34,342 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:56:34,382 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 15:56:34,481 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 15:56:34,482 | INFO     | CheckerApp | _setup_workflow_routes:2053 | [ROUTING] Workflow routing system setup complete
2025-07-02 15:56:34,538 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:56:34,624 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:56:34,625 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:56:34,626 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:56:34,628 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:56:34,628 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:56:34,629 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:56:34,669 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 15:56:34,707 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 15:56:34,708 | WARNING  | CheckerApp | setup_application:494 | [WINDOW_ICON] Could not set window icon: 'charmap' codec can't encode character '\u2705' in position 124: character maps to <undefined>
2025-07-02 15:57:04,464 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:57:04,575 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:57:04,575 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:57:04,576 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:57:04,579 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:57:04,579 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:57:04,580 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:57:04,623 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 15:57:04,712 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 15:57:04,713 | INFO     | CheckerApp | _setup_workflow_routes:2053 | [ROUTING] Workflow routing system setup complete
2025-07-02 15:57:04,772 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 15:57:04,858 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:57:04,859 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:57:04,859 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 15:57:04,861 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:57:04,863 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:57:04,863 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 15:57:04,903 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 15:57:04,937 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 15:57:04,937 | WARNING  | CheckerApp | setup_application:494 | [WINDOW_ICON] Could not set window icon: 'charmap' codec can't encode character '\u2705' in position 124: character maps to <undefined>
2025-07-02 16:00:08,515 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:00:08,614 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:00:08,614 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:00:08,615 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:00:08,617 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:00:08,617 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:00:08,618 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:00:08,663 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 16:00:08,748 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:00:08,749 | INFO     | CheckerApp | _setup_workflow_routes:2054 | [ROUTING] Workflow routing system setup complete
2025-07-02 16:00:08,802 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:00:08,885 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:00:08,885 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:00:08,886 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:00:08,888 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:00:08,888 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:00:08,889 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:00:08,929 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 16:00:08,966 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:00:08,967 | WARNING  | CheckerApp | setup_application:494 | [WINDOW_ICON] Could not set window icon: 'charmap' codec can't encode character '\u2705' in position 124: character maps to <undefined>
2025-07-02 16:01:08,503 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:01:08,624 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:01:08,625 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:01:08,625 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:01:08,627 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:01:08,628 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:01:08,628 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:01:08,671 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 16:01:08,769 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:01:08,770 | INFO     | CheckerApp | _setup_workflow_routes:2054 | [ROUTING] Workflow routing system setup complete
2025-07-02 16:01:08,830 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:01:08,922 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:01:08,922 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:01:08,923 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:01:08,926 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:01:08,927 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:01:08,927 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:01:08,972 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 16:01:09,013 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:01:09,014 | WARNING  | CheckerApp | setup_application:494 | [WINDOW_ICON] Could not set window icon: 'charmap' codec can't encode character '\u2705' in position 124: character maps to <undefined>
2025-07-02 16:06:09,027 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:06:09,141 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:06:09,143 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:06:09,143 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:06:09,146 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:06:09,147 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:06:09,147 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:06:09,193 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 16:06:09,299 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:06:09,306 | INFO     | CheckerApp | _setup_workflow_routes:2054 | [ROUTING] Workflow routing system setup complete
2025-07-02 16:06:09,379 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:06:09,476 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:06:09,477 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:06:09,477 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:06:09,479 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:06:09,479 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:06:09,480 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:06:09,519 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 16:06:09,565 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:06:09,566 | WARNING  | CheckerApp | setup_application:494 | [WINDOW_ICON] Could not set window icon: 'charmap' codec can't encode character '\u2705' in position 124: character maps to <undefined>
2025-07-02 16:09:24,640 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:09:24,787 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:09:24,788 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:09:24,789 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:09:24,791 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:09:24,792 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:09:24,793 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:09:24,840 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 16:09:24,936 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:09:24,937 | INFO     | CheckerApp | _setup_workflow_routes:2054 | [ROUTING] Workflow routing system setup complete
2025-07-02 16:09:25,000 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:09:25,084 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:09:25,084 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:09:25,085 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:09:25,087 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:09:25,087 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:09:25,088 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:09:25,128 | WARNING  | CheckerApp | _show_splash_screen:409 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 16:09:25,159 | INFO     | CheckerApp | setup_application:486 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:09:25,159 | WARNING  | CheckerApp | setup_application:494 | [WINDOW_ICON] Could not set window icon: 'charmap' codec can't encode character '\u2705' in position 124: character maps to <undefined>
2025-07-02 16:37:01,003 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:37:01,106 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,107 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,107 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,109 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,110 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,110 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,152 | WARNING  | CheckerApp | _show_splash_screen:465 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 16:37:01,254 | INFO     | CheckerApp | setup_application:552 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:37:01,254 | INFO     | CheckerApp | _setup_workflow_routes:2316 | [ROUTING] Workflow routing system setup complete
2025-07-02 16:37:01,313 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:37:01,402 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,402 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,403 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:37:01,405 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,405 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,406 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:37:01,446 | WARNING  | CheckerApp | _show_splash_screen:465 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 16:37:01,484 | INFO     | CheckerApp | setup_application:552 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:37:01,485 | INFO     | CheckerApp | _setup_workflow_routes:2316 | [ROUTING] Workflow routing system setup complete
2025-07-02 16:41:52,554 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:41:52,675 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,676 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,677 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,679 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,680 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,680 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,732 | WARNING  | CheckerApp | _show_splash_screen:464 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 16:41:52,829 | INFO     | CheckerApp | setup_application:551 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:41:52,831 | INFO     | CheckerApp | _setup_workflow_routes:2317 | [ROUTING] Workflow routing system setup complete
2025-07-02 16:41:52,883 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:41:52,968 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,969 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,969 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:41:52,971 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,972 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:52,972 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:41:53,011 | WARNING  | CheckerApp | _show_splash_screen:464 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 16:41:53,049 | INFO     | CheckerApp | setup_application:551 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:41:53,050 | INFO     | CheckerApp | _setup_workflow_routes:2317 | [ROUTING] Workflow routing system setup complete
2025-07-02 16:42:06,695 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:42:06,801 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:06,802 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:06,802 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:06,802 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:06,802 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:06,802 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:06,849 | WARNING  | CheckerApp | _show_splash_screen:464 | [SPLASH] Could not load logo in splash: image "pyimage1" doesn't exist
2025-07-02 16:42:06,942 | INFO     | CheckerApp | setup_application:551 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:42:06,943 | INFO     | CheckerApp | _setup_workflow_routes:2317 | [ROUTING] Workflow routing system setup complete
2025-07-02 16:42:06,998 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:42:07,086 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:07,087 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:07,087 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:42:07,089 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:07,090 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:07,090 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'undo': <class 'str'>
2025-07-02 16:42:07,129 | WARNING  | CheckerApp | _show_splash_screen:464 | [SPLASH] Could not load logo in splash: image "pyimage2" doesn't exist
2025-07-02 16:42:07,168 | INFO     | CheckerApp | setup_application:551 | [WINDOW_ICON] ✅ New Checker Logo Transparent.png set as window icon
2025-07-02 16:42:07,168 | INFO     | CheckerApp | _setup_workflow_routes:2317 | [ROUTING] Workflow routing system setup complete
2025-07-02 16:55:52,853 | INFO     | CheckerApp | log_info:213 | Enhanced logging system initialized successfully
2025-07-02 16:55:52,959 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
2025-07-02 16:55:52,959 | ERROR    | CheckerApp | log_error:183 | ICON Unknown icon data type for 'refresh': <class 'str'>
